Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material,Category
Generic Models,AED_DEFIBRILLATOR_AND_BACKPACK_CABINET_14701,AED_DEFIBRILLATOR_AND_BACKPACK_CABINET_14701,AED_DEFIBRILLATOR_AND_BACKPACK_CABINET_14701,E2020200,Furniture & Accessories,AUTOMATED EXTERNAL DEFIBRILLATOR,MCR07,AED_DEFIBRILLATOR_AND_BACKPACK_CABINET_14701,,<By Category>,Generic Model (MISC)
Generic Models,NBS_Tiso_SStlBllrds_AutomaticTrafficBollard_RB349,RB349-15,NBS_Tiso_SStlBllrds_AutomaticTrafficBollard_RB349,E1030900,Other Vehicular Equipment,TiSO traffic automatic bollards are due in part to the wide range of project applications and the simplicity of installation. This particular TiSO product has been designed and engineered to provide maximum operation durability,MCR07,RB349-15,,<By Category>,Generic Model (MISC)
Generic Models,NBS_Tiso_SStlBllrds_AutomaticTrafficBollard_RB349,RB349-15,NBS_Tiso_SStlBllrds_AutomaticTrafficBollard_RB349,E1030900,Other Vehicular Equipment,TiSO traffic automatic bollards are due in part to the wide range of project applications and the simplicity of installation. This particular TiSO product has been designed and engineered to provide maximum operation durability,MCR07,RB349-15,,<By Category>,Generic Model (MISC)
Generic Models,JTC Logo2,JTC Logo,JTC Logo2,,,JTC LOGO,MCR07,JTC Logo,,<By Category>,Generic Model (MISC)
Generic Models,POC_Ceiling Access Panel,600X600 AP,POC_Ceiling Access Panel,C3030900,Other Ceiling Finishes,Access Panel Size:600x600mm,MCR07,600X600 AP,,<By Category>,Generic Model (MISC)
Generic Models,POC_Ceiling Access Panel,600X600 AP,POC_Ceiling Access Panel,C3030900,Other Ceiling Finishes,Access Panel Size:600x600mm,MCR07,600X600 AP,,<By Category>,Generic Model (MISC)
Generic Models,POC_Ceiling Access Panel,600X600 AP,POC_Ceiling Access Panel,C3030900,Other Ceiling Finishes,Access Panel Size:600x600mm,MCR07,600X600 AP,,<By Category>,Generic Model (MISC)
Generic Models,Model Text,350 mm Insignia,Model Text,E2010100,Fixed Artwork,JTC MAIN ENTRANCE SIGNAGE,MCR07,350 mm Insignia,,PEDBBLES,Generic Model (MISC)
Generic Models,Model Text,100 mm Insignia,Model Text,,,JTC MAIN ENTRANCE SIGNAGE,MCR07,100 mm Insignia,,Roofing - Standing Seam,Generic Model (MISC)
Generic Models,Model Text,100 mm Insignia (JTC),Model Text,,,JTC MAIN ENTRANCE SIGNAGE,MCR07,100 mm Insignia (JTC),,Roofing - JTC Ocean Blue,Generic Model (MISC)
Generic Models,Bicycle_Lady_model_10198,Bicycle_Lady_model_10198,Bicycle_Lady_model_10198,E1030200,Parking Control Equipment,BICYCLE BY OTHERS,MCR07,Bicycle_Lady_model_10198,,<By Category>,Generic Model (MISC)
Generic Models,Lysaght Klip-Lok Optima,0.40mm_BMT,Lysaght Klip-Lok Optima,B3010100,Roof Finishes,METAL ROOFING,MCR07,0.40mm_BMT,,<By Category>,Generic Model (MISC)
Generic Models,Lysaght Klip-Lok Optima,0.40mm_BMT 2,Lysaght Klip-Lok Optima,,,METAL ROOFING,MCR07,0.40mm_BMT 2,,<By Category>,Generic Model (MISC)
Generic Models,Lysaght Klip-Lok Optima,0.40mm_BMT 3,Lysaght Klip-Lok Optima,,,METAL ROOFING,MCR07,0.40mm_BMT 3,,<By Category>,Generic Model (MISC)
Generic Models,ELEC SHAFT SIGNAGE,ELEC SHAFT SIGNAGE,ELEC SHAFT SIGNAGE,,,ELEC SHAFT ROOM SIGNAGE,MCR07,ELEC SHAFT SIGNAGE,,Aluminum,Generic Model (MISC)
Generic Models,MDF ROOM SIGNAGE,MDF ROOM SIGNAGE,MDF ROOM SIGNAGE,,,MDF ROOM ROOM SIGNAGE,MCR07,MDF ROOM SIGNAGE,,Aluminum,Generic Model (MISC)
Generic Models,MEETING ROOM SIGNAGE,MEETING ROOM SIGNAGE,MEETING ROOM SIGNAGE,,,MEETING ROOM SIGNAGE,MCR07,MEETING ROOM SIGNAGE,,Aluminum,Generic Model (MISC)
Generic Models,OPERATION OFFICE SIGNAGE,OPERATION OFFICE SIGNAGE,OPERATION OFFICE SIGNAGE,,,OPERATION OFFICE ROOM SIGANGE,MCR07,OPERATION OFFICE SIGNAGE,,<By Category>,Generic Model (MISC)
Generic Models,TOILET SYMBOL,TOILET SYMBOL,TOILET SYMBOL,,,TOILET SIGANGE,MCR07,TOILET SYMBOL,,<By Category>,Generic Model (MISC)
Generic Models,TOILET SYMBOL,TOILET SYMBOL,TOILET SYMBOL,,,TOILET SIGANGE,MCR07,TOILET SYMBOL,,<By Category>,Generic Model (MISC)
Generic Models,PWD SYMBOL,PWD SYMBOL,PWD SYMBOL,,,ACCESSIBLE TOILET SIGNAGE,MCR07,PWD SYMBOL,,Aluminum,Generic Model (MISC)
Generic Models,PWD SYMBOL,PWD SYMBOL,PWD SYMBOL,,,ACCESSIBLE TOILET SIGNAGE,MCR07,PWD SYMBOL,,Aluminum,Generic Model (MISC)
Generic Models,FIRST AID ROOM SIGNAGE,FIRST AID ROOM SIGNAGE,FIRST AID ROOM SIGNAGE,,,FIRST AID ROOM SIGNAGE,MCR07,FIRST AID ROOM SIGNAGE,,Aluminum,Generic Model (MISC)
Generic Models,FM STORE SIGNAGE,FM STORE SIGNAGE,FM STORE SIGNAGE,,,FM STORE SIGNAGE,MCR07,FM STORE SIGNAGE,,Aluminum,Generic Model (MISC)
Generic Models,WORKMAN REST ROOM SIGNAGE,WORKMAN REST ROOM SIGNAGE,WORKMAN REST ROOM SIGNAGE,,,WORKMAN REST ROOM SIGNAGE,MCR07,WORKMAN REST ROOM SIGNAGE,,Aluminum,Generic Model (MISC)
Generic Models,OPERATION OFFICE ELV SPACE SIGNAGE,OPERATION OFFICE ELV SPACE SIGNAGE,OPERATION OFFICE ELV SPACE SIGNAGE,,,OPERATION OFFICE SIGNAGE,MCR07,OPERATION OFFICE ELV SPACE SIGNAGE,,Aluminum,Generic Model (MISC)
Generic Models,FM OFFICE SIGNAGE,FM OFFICE SIGNAGE,FM OFFICE SIGNAGE,,,FM OFFICE SIGANGE,MCR07,FM OFFICE SIGNAGE,,<By Category>,Generic Model (MISC)
