Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material,Prediction
Generic Models,Generic Models 38,Generic Models 12,Generic Models 38 [9392903],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 39,Generic Models 15,Generic Models 39 [9392919],,,BOLTS & NUTS,MCR07,Generic Models 15,,<By Category>,
Generic Models,Generic Models 40,Generic Models 12,Generic Models 40 [9393079],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 41,Generic Models 13,Generic Models 41 [9393092],,,KLIPLOK,MCR07,Generic Models 13,,<By Category>,
Generic Models,Generic Models 42,Generic Models 12,Generic Models 42 [9393104],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 43,Generic Models 15,Generic Models 43 [9393120],,,BOLTS & NUTS,MCR07,Generic Models 15,,<By Category>,
Generic Models,Generic Models 44,Generic Models 12,Generic Models 44 [9393288],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 45,Generic Models 13,Generic Models 45 [9393301],,,KLIPLOK,MCR07,Generic Models 13,,<By Category>,
Generic Models,Generic Models 46,Generic Models 12,Generic Models 46 [9393313],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 47,Generic Models 15,Generic Models 47 [9393329],,,BOLTS & NUTS,MCR07,Generic Models 15,,<By Category>,
Generic Models,Generic Models 48,Generic Models 12,Generic Models 48 [9393864],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 49,Generic Models 13,Generic Models 49 [9393877],,,KLIPLOK,MCR07,Generic Models 13,,<By Category>,
Generic Models,Generic Models 50,Generic Models 12,Generic Models 50 [9393889],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 51,Generic Models 15,Generic Models 51 [9393905],,,BOLTS & NUTS,MCR07,Generic Models 15,,<By Category>,
Generic Models,Generic Models 52,Generic Models 12,Generic Models 52 [9393932],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 53,Generic Models 13,Generic Models 53 [9393945],,,KLIPLOK,MCR07,Generic Models 13,,<By Category>,
Generic Models,Generic Models 54,Generic Models 12,Generic Models 54 [9393957],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 55,Generic Models 15,Generic Models 55 [9393973],,,BOLTS & NUTS,MCR07,Generic Models 15,,<By Category>,
Generic Models,Generic Models 56,Generic Models 12,Generic Models 56 [9394133],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 57,Generic Models 13,Generic Models 57 [9394146],,,KLIPLOK,MCR07,Generic Models 13,,<By Category>,
Generic Models,Generic Models 58,Generic Models 12,Generic Models 58 [9394158],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 59,Generic Models 15,Generic Models 59 [9394174],,,BOLTS & NUTS,MCR07,Generic Models 15,,<By Category>,
Generic Models,Generic Models 60,Generic Models 12,Generic Models 60 [9394315],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 61,Generic Models 13,Generic Models 61 [9394328],,,KLIPLOK,MCR07,Generic Models 13,,<By Category>,
Generic Models,Generic Models 62,Generic Models 12,Generic Models 62 [9394340],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 63,Generic Models 15,Generic Models 63 [9394356],,,BOLTS & NUTS,MCR07,Generic Models 15,,<By Category>,
Generic Models,Generic Models 64,Generic Models 12,Generic Models 64 [9394672],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 65,Generic Models 13,Generic Models 65 [9394685],,,KLIPLOK,MCR07,Generic Models 13,,<By Category>,
Generic Models,Generic Models 66,Generic Models 12,Generic Models 66 [9394697],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 67,Generic Models 15,Generic Models 67 [9394713],,,BOLTS & NUTS,MCR07,Generic Models 15,,<By Category>,
Generic Models,Generic Models 68,Generic Models 68,Generic Models 68 [9395308],,,SS316 CABLE 8MM DIA,MCR07,Generic Models 68,,<By Category>,
Generic Models,Generic Models 69,Generic Models 69,Generic Models 69 [9395854],,,SS316 CABLE 8MM DIA,MCR07,Generic Models 69,,<By Category>,
Generic Models,Generic Models 70,Generic Models 12,Generic Models 70 [9396495],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 71,Generic Models 13,Generic Models 71 [9396508],,,KLIPLOK,MCR07,Generic Models 13,,<By Category>,
Generic Models,Generic Models 72,Generic Models 12,Generic Models 72 [9396520],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
