"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Electrical Equipment","ACM_ELEC_DB","DB-SS","ACM_ELEC_DB","[3315249]","","","","","DB-SS","",""
"Lighting Fixtures","","","2x14W LED Wall Mounted(L2)","[4226190]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED Wall Mounted(L2)","[4226206]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED Wall Mounted(L2)","[4226411]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED Wall Mounted(L2)","[4494647]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED Wall Mounted(L2)","[4494749]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED Wall Mounted(L2)","[4494797]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED Wall Mounted(L2)","[4494871]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED Wall Mounted(L2)","[4494872]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED Wall Mounted(L2)","[4494900]","","","","","","","",""
"Lighting Devices","","","ACM_LIGT_MotionSensor_Dome","[1350410]","","","","","","","",""
"Lighting Devices","","","ACM_LIGT_MotionSensor_Dome","[1350680]","","","","","","","",""
"Lighting Devices","","","ACM_LIGT_MotionSensor_Dome","[1351071]","","","","","","","",""
"Lighting Devices","","","ACM_LIGT_MotionSensor_Dome","[1605769]","","","","","","","",""
"Lighting Devices","","","ACM_LIGT_MotionSensor_Dome","[1605779]","","","","","","","",""
"Lighting Devices","","","ACM_LIGT_MotionSensor_Dome","[1606043]","","","","","","","",""
"Lighting Devices","","","ACM_LIGT_MotionSensor_Dome","[1606257]","","","","","","","",""
"Lighting Devices","","","ACM_LIGT_MotionSensor_Dome","[1980665]","","","","","","","",""
"Lighting Devices","","","ACM_LIGT_MotionSensor_Dome","[1982191]","","","","","","","",""
"Lighting Devices","","","ACM_LIGT_MotionSensor_Dome","[4492996]","","","","","","","",""
"Lighting Devices","","","ACM_LIGT_MotionSensor_Dome","[4493335]","","","","","","","",""
"Lighting Devices","","","ACM_LIGT_MotionSensor_Dome","[4493388]","","","","","","","",""
"Lighting Devices","","","ACM_LIGT_MotionSensor_Dome","[4493755]","","","","","","","",""
"Lighting Devices","","","ACM_LIGT_MotionSensor_Dome","[4494152]","","","","","","","",""
"Lighting Devices","","","ACM_LIGT_Metalclad Light Switch","[1698739]","","","","","","","",""
"Lighting Devices","","","ACM_LIGT_Metalclad Light Switch","[3311087]","","","","","","","",""
"Lighting Devices","","","ACM_LIGT_Lighting Switch","[1910730]","","","","","","","",""
"Lighting Devices","","","1G 1WAY","[4212628]","","","","","","","",""
"Lighting Devices","","","1G 1WAY","[4212957]","","","","","","","",""
"Lighting Devices","","","1G 1WAY","[4213648]","","","","","","","",""
"Lighting Devices","","","1G 1WAY","[4214676]","","","","","","","",""
"Lighting Devices","","","1G 1WAY","[4214721]","","","","","","","",""
"Lighting Devices","","","1G 1WAY","[4216952]","","","","","","","",""
"Electrical Equipment","ACM_ELEC_DB","DB-1-L1","ACM_ELEC_DB","[1576449]","","","","","DB-1-L1","",""
"Electrical Equipment","ACM_ELEC_DB","Fuel Control Panel","ACM_ELEC_DB","[1898509]","","","","","Fuel Control Panel","",""
"Electrical Equipment","ACM_ELEC_DB","EDB-1-COMM","ACM_ELEC_DB","[2063929]","","","","","EDB-1-COMM","",""
"Electrical Equipment","ACM_ELEC_DB","DB-SS","ACM_ELEC_DB","[3315249]","","","","","DB-SS","",""
"Electrical Equipment","ACM_ELEC_DB","DB-1-P1","ACM_ELEC_DB","[3812184]","","","","","DB-1-P1","",""
"Electrical Equipment","ACM_ELEC_DB","EDB-1-MMR-COMM","ACM_ELEC_DB","[3812264]","","","","","EDB-1-MMR-COMM","",""
"Electrical Equipment","ACM_ELEC_DB","EDB-1-MMR-COMM","ACM_ELEC_DB","[4592060]","","","","","EDB-1-MMR-COMM","",""
"Electrical Equipment","ACM_ELEC_DB","EDB-1-L1","ACM_ELEC_DB","[3812295]","","","","","EDB-1-L1","",""
"Electrical Equipment","ACM_ELEC_DB","EDB-1-L2","ACM_ELEC_DB","[4168386]","","","","","EDB-1-L2","",""
"Electrical Equipment","ACM_ELEC_DB","DB-1-MV","ACM_ELEC_DB","[4168436]","","","","","DB-1-MV","",""
"Electrical Equipment","ACM_ELEC_DB","EDB-1-P2","ACM_ELEC_DB","[4168437]","","","","","EDB-1-P2","",""
"Electrical Equipment","ACM_ELEC_DB","DB-1-L2","ACM_ELEC_DB","[4168438]","","","","","DB-1-L2","",""
"Electrical Equipment","ACM_ELEC_DB","DB-1-P2","ACM_ELEC_DB","[4168600]","","","","","DB-1-P2","",""
"Electrical Equipment","ACM_ELEC_DB","EDB-FCC","ACM_ELEC_DB","[4208816]","","","","","EDB-FCC","",""
"Electrical Equipment","","","ACM_ELEC_Diesel Storage Tank","[1885107]","","","","","","","",""
"Electrical Equipment","","","ACM_ELEC_Diesel Pump","[1895465]","","","","","","","",""
"Electrical Equipment","","","2000KVA TRANSFORMER","[3082460]","","","","","","","",""
"Electrical Equipment","","","2000KVA TRANSFORMER","[3082461]","","","","","","","",""
"Electrical Equipment","","","2000KVA TRANSFORMER","[3082462]","","","","","","","",""
"Floors","SPPG","SPPG","SPPG","[881106]","","","","","SPPG","<By Category>",""
"Lighting Fixtures","WT188C LED40 NW L1200 PSD(Wall Mount)","1x34W LED Batten(W/P)","WT188C LED40 NW L1200 PSD(Wall Mount)","[4167223]","","","","","1x34W LED Batten(W/P)","",""
