"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Mechanical Equipment","PB_SANI_Ejector Pump_Vertical Discharge_Non-Hosted","SANI","PB_SANI_Ejector Pump_Vertical Discharge_Non-Hosted","[913675]","","","","","SANI","",""
"Pipes","","","Pipe Types","[1363618]","","","","","","","",""
"Pipes","","","Pipe Types","[1363620]","","","","","","","",""
"Pipes","","","Pipe Types","[1363621]","","","","","","","",""
"Pipes","","","Pipe Types","[1363623]","","","","","","","",""
"Pipes","","","Pipe Types","[1363624]","","","","","","","",""
"Pipes","","","Pipe Types","[1363625]","","","","","","","",""
"Pipes","","","Pipe Types","[1363626]","","","","","","","",""
"Pipes","","","Pipe Types","[1363632]","","","","","","","",""
"Pipes","","","Pipe Types","[1363633]","","","","","","","",""
"Pipes","","","Pipe Types","[1363635]","","","","","","","",""
"Pipes","","","Pipe Types","[1363636]","","","","","","","",""
"Pipes","","","Pipe Types","[1363638]","","","","","","","",""
"Pipes","","","Pipe Types","[1363639]","","","","","","","",""
"Pipes","","","Pipe Types","[1363640]","","","","","","","",""
"Pipes","","","Pipe Types","[1363641]","","","","","","","",""
"Pipes","","","Pipe Types","[1363647]","","","","","","","",""
"Pipes","","","Pipe Types","[1363648]","","","","","","","",""
"Pipes","","","Pipe Types","[1363650]","","","","","","","",""
"Pipes","","","Pipe Types","[1363651]","","","","","","","",""
"Pipes","","","Pipe Types","[1363653]","","","","","","","",""
"Pipes","","","Pipe Types","[1363654]","","","","","","","",""
"Pipes","","","Pipe Types","[1363655]","","","","","","","",""
"Pipes","","","Pipe Types","[1363656]","","","","","","","",""
"Pipes","","","Pipe Types","[1363662]","","","","","","","",""
"Pipes","","","Pipe Types","[1363663]","","","","","","","",""
"Pipes","","","Pipe Types","[1363665]","","","","","","","",""
"Pipes","","","Pipe Types","[1363666]","","","","","","","",""
"Pipes","","","Pipe Types","[1363668]","","","","","","","",""
"Pipes","","","Pipe Types","[1363669]","","","","","","","",""
"Pipes","","","Pipe Types","[1363670]","","","","","","","",""
"Pipes","","","Pipe Types","[1363671]","","","","","","","",""
"Pipes","","","Pipe Types","[1372062]","","","","","","","",""
"Pipes","","","Pipe Types","[1372063]","","","","","","","",""
"Pipes","","","Pipe Types","[1372639]","","","","","","","",""
"Pipes","","","Pipe Types","[1372640]","","","","","","","",""
"Pipes","","","Pipe Types","[1381474]","","","","","","","",""
"Pipes","","","Pipe Types","[1381475]","","","","","","","",""
"Pipes","","","Pipe Types","[1382159]","","","","","","","",""
"Pipes","","","Pipe Types","[1382160]","","","","","","","",""
"Pipes","","","Pipe Types","[1382180]","","","","","","","",""
"Pipes","","","Pipe Types","[1382181]","","","","","","","",""
"Pipes","","","Pipe Types","[1382353]","","","","","","","",""
"Pipes","","","Pipe Types","[1382354]","","","","","","","",""
"Pipes","","","Pipe Types","[1382468]","","","","","","","",""
"Pipes","","","Pipe Types","[1382469]","","","","","","","",""
"Pipes","","","Pipe Types","[1382505]","","","","","","","",""
"Pipes","","","Pipe Types","[1382506]","","","","","","","",""
"Pipes","","","Pipe Types","[1382526]","","","","","","","",""
"Pipes","","","Pipe Types","[1382527]","","","","","","","",""
"Pipes","","","Pipe Types","[1382824]","","","","","","","",""
"Pipes","","","Pipe Types","[1382825]","","","","","","","",""
"Pipes","","","Pipe Types","[1382978]","","","","","","","",""
"Pipes","","","Pipe Types","[1382979]","","","","","","","",""
"Pipes","","","Pipe Types","[1384431]","","","","","","","",""
"Pipes","","","Pipe Types","[1384432]","","","","","","","",""
"Pipes","","","Pipe Types","[1389396]","","","","","","","",""
"Pipes","","","Pipe Types","[1389397]","","","","","","","",""
"Pipes","","","Pipe Types","[1403416]","","","","","","","",""
"Pipes","","","Pipe Types","[1403417]","","","","","","","",""
"Pipes","","","Pipe Types","[1430183]","","","","","","","",""
"Pipes","","","Pipe Types","[1430184]","","","","","","","",""
"Pipes","","","Pipe Types","[1447550]","","","","","","","",""
